MaxId=500
Id;jmeno;prijmeni;datumNarozeni;obor;bodyPrijimacihoRizeni;prijat
1;Britt;Collough;03.09.1995;2;27;true
2;Bertina;Prendergast;02.06.1995;1;35;true
3;Selig;Lacy;21.12.1998;4;19;false
4;Jedidiah;Acedo;22.07.2000;2;7;false
5;Danna;Wyldish;26.09.2003;0;10;false
6;Godiva;Tomaszek;11.07.2002;3;32;true
7;Curt;Shimony;18.01.1999;4;77;false
8;Joshuah;Malby;21.11.1999;3;18;false
9;Christean;MacIver;16.03.2000;2;67;false
10;Kacy;Sampey;21.01.2003;1;35;false
11;Aldis;Well;10.08.2002;4;13;true
12;Calhoun;Predohl;24.01.1998;0;32;true
13;Emelyne;Cunney;01.04.2001;4;99;false
14;Saw;Danby;23.01.1999;4;5;false
15;Isidro;Mc Mechan;30.05.1996;3;94;true
16;Amandy;Cridland;09.10.1995;1;28;false
17;Keefer;May;24.08.2003;3;10;false
18;Vaughan;Trickey;06.10.2004;0;46;false
19;Florrie;Vamplew;02.05.2000;2;69;false
20;Dyna;Diperaus;24.10.2001;1;69;false
21;Dorella;Bullard;24.08.2001;3;4;false
22;Geordie;Bunner;31.01.2001;2;86;true
23;Carmela;Mullenger;14.03.2002;1;59;true
24;Melisent;Boni;01.12.2004;0;55;false
25;Mareah;Tipens;10.05.2004;0;44;true
26;Chaddy;Dulen;12.06.2003;0;24;false
27;Imojean;Leopold;01.08.2003;0;62;false
28;Stanwood;Slowly;18.05.2004;2;99;false
29;Michelle;Karpenya;10.10.2001;3;34;true
30;Dierdre;Coppock.;20.09.2003;4;81;false
31;Samara;Matyushkin;20.08.2003;3;87;true
32;Benny;Flaverty;23.06.1999;2;11;true
33;Lilias;Heims;27.08.2003;1;61;false
34;Kevon;Wilton;16.05.2004;4;59;false
35;Cherilyn;Buckthorp;03.11.1999;0;39;false
36;Darnall;Ballard;16.08.1996;0;9;false
37;Elset;Demann;06.09.1996;0;4;false
38;Ritchie;Growcock;18.08.2000;3;60;false
39;Kaja;Shatliff;14.02.1997;3;56;false
40;Englebert;Blazej;27.10.1997;3;0;true
41;Antonin;Alves;01.10.2001;2;3;true
42;Guinna;Sharville;26.12.2003;2;97;false
43;Gael;Bonnier;31.10.1998;3;40;false
44;Jorry;Skryne;11.02.2002;0;31;true
45;Peyter;Ofer;07.06.2003;0;99;true
46;Albertina;Juster;28.09.2002;0;22;false
47;Jessie;Ackland;04.06.2000;2;58;false
48;Cleve;McKendry;20.10.1995;1;13;true
49;Drud;Verchambre;17.04.2001;4;74;false
50;Lionello;Grisewood;14.06.1995;2;62;true
51;Caralie;Domke;19.01.2005;0;89;false
52;Keith;Banville;12.09.2001;0;41;false
53;Gertrude;Knok;24.03.2002;3;100;false
54;Ray;Debill;16.12.2002;4;53;true
55;Sandor;Padgett;30.07.1996;4;52;true
56;Ingeberg;D'Andrea;05.01.2004;1;57;true
57;Wallace;Teggart;21.07.1995;2;26;false
58;Bayard;Togwell;27.02.1995;0;48;false
59;Lira;Leythley;28.03.2002;3;59;false
60;Cortie;Aldersley;04.02.2002;2;97;true
61;Gabriell;Dorney;31.10.2003;2;18;false
