Id;jmeno;prijmeni;datumNarozeni;obor;bodyPrijimacihoRizeni;prijat;prumerZnamekMaturitniZkousky
1629;Eward;Jennaroy;29.05.2000;1;52;false;1.45
1177;Adina;Fullom;27.12.1995;2;28;false;3.07
1249;Latashia;Neachell;17.09.2000;0;45;false;1.23
1640;Torrie;Ekkel;26.08.1995;4;70;false;1.92
1377;Thacher;Philippon;14.12.1995;4;85;true;1.39
1471;Myer;Creese;24.04.1998;3;90;false;2.9
1737;Elisabetta;Pinnington;19.04.1996;3;93;false;1.15
1680;Lennard;Ryding;12.03.1999;0;7;true;1.55
1054;Marney;Addess;19.06.1997;3;74;true;3.06
1470;Zak;Epton;21.01.2005;1;79;true;3.61
1344;Bear;Cholomin;11.05.1998;1;36;false;4.85
1152;Lorilyn;Domone;18.06.2004;4;69;true;3.04
1502;Deva;Fencott;21.12.2000;0;52;false;1.21
1434;Michail;Thams;25.05.1998;4;41;true;1.26
1029;Hamlin;Quibell;30.05.2000;4;96;false;4.65
1280;Aimee;Brake;18.12.1996;1;6;true;1.87
1763;Malva;Leefe;30.09.2000;0;78;true;3.46
1807;Candi;Grebbin;10.06.1997;4;85;true;3.02
1792;Tove;Marishenko;11.03.1995;0;61;true;2.79
1162;Carolina;Stolworthy;19.04.1999;2;87;false;1.86
1168;Karilynn;Russ;21.06.1998;2;67;false;3.51
1055;Cammie;Snipe;31.10.1995;3;47;false;1.51
1146;Kerrin;Tooher;21.05.1998;3;32;true;3.59
1671;Kamillah;Yeatman;23.03.2004;3;33;true;1.08
1592;Shandeigh;Ebbin;14.05.1995;4;83;false;1.26
1281;Garrott;Pocke;25.05.2001;0;32;false;1.31
1779;Natal;Keston;21.10.1998;2;48;false;5.0
1917;Karel;Brennand;07.08.2000;4;58;true;2.15
1320;Renate;Trayling;30.04.2001;3;53;true;4.65
1335;Mayer;Millwater;27.08.2003;0;12;false;1.78
1940;Jennica;Pontefract;13.06.2003;3;55;false;3.11
1595;Rena;Plaunch;23.11.1996;3;80;false;1.4
1566;Adriano;Oxlee;22.06.1997;4;66;true;2.05
1901;Shoshana;Moxham;07.02.2002;3;22;true;1.99
1977;Anabelle;Levicount;03.04.1997;4;87;true;2.65
1219;Cosmo;Hall;24.07.2004;3;5;true;2.5
1543;Bonny;Keigher;25.07.2003;2;80;true;4.59
1596;Nichole;D'Adda;08.05.1999;1;39;true;4.58
1076;Judye;Solman;13.08.1999;3;7;false;4.2
1302;Thomas;Huckleby;27.05.2004;4;94;false;3.7
1790;Kimberlyn;McClurg;17.03.2001;2;58;false;1.53
1896;Tamma;Scard;13.08.2001;2;66;false;3.65
1884;Rivkah;Child;05.08.2000;4;56;false;1.49
1965;Jodie;Whickman;09.11.2003;4;84;false;4.75
1351;Rasia;Fairbairn;27.10.1998;0;98;true;1.41
1111;Pearl;Hackin;30.01.1996;4;84;true;1.94
1576;Antonina;Chance;27.06.1995;3;32;false;1.53
1057;Kellia;Rapier;31.07.2000;1;40;false;1.15
