MaxId=10506
Id;jmeno;prijmeni;datumNarozeni;obor;bodyPrijimacihoRizeni;prijat;prumerZnamekMaturitniZkousky
10001;Gibb;Bangs;30.06.1999;3;95;True;3.57
10002;Winnie;Dobrowski;20.09.1998;4;17;True;4.46
10003;Carie;Risson;15.07.2000;4;20;True;4.51
10004;Laina;Halifax;21.02.1995;2;28;True;3.55
10005;Barnett;Heintzsch;09.03.2002;2;97;True;4.92
10006;Iolanthe;Riep;25.01.1996;1;70;True;2.8
10007;Isidor;Mowne;13.04.2003;3;25;False;2.7
10008;Ki;Aldwinckle;15.01.1996;0;27;False;1.55
10009;Hilde;Linscott;11.03.1998;1;56;True;3.33
10011;Ami;Waby;21.08.2000;0;11;False;3.87
10012;Verney;Fidock;22.12.2004;2;90;False;3.04
10013;Jocko;Davis;03.07.1999;2;22;True;2.15
10014;Lynnette;Lamyman;04.09.2002;2;54;False;4.78
10015;Norris;MacGuffog;12.06.2000;1;78;False;4.34
10016;Louise;Libreros;15.01.1996;1;100;False;3.22
10017;Shaun;Huniwall;14.03.2003;3;34;True;2.47
10018;Barbee;Gillespey;12.09.1995;4;1;True;3.32
10019;Cullen;Muzzlewhite;03.01.1999;2;71;False;2.08
10020;Maddi;Bruhnke;02.09.1999;4;64;False;3.91
10021;Dennie;Stolting;01.11.2004;2;73;True;4.91
10022;Natasha;Titta;09.11.2003;4;55;False;1.83
10023;Yorgos;Tomaselli;15.05.1999;2;82;True;4.26
10024;Jerri;Wanklin;28.09.2001;1;14;True;4.82
10025;Fancy;Corpes;21.07.2000;2;74;False;2.19
10026;Harri;Bendle;14.09.2000;1;25;True;4.31
10027;Gwendolen;Dickey;09.12.1995;0;6;False;1.14
10028;Ellie;Greenan;16.01.2004;3;20;False;4.77
10029;Leena;Madge;05.04.1997;0;10;True;4.51
10030;Jaquith;Matussow;22.05.2003;3;86;False;3.11
10031;Morgen;Pobjoy;18.09.1997;1;53;True;4.24
10032;Dukie;Weald;20.01.2005;3;89;False;1.43
10033;Camellia;Champken;24.01.2005;3;35;True;3.03
10034;Janis;Skitt;25.06.1999;1;2;True;1.77
10035;Page;Laurens;28.05.1998;3;69;False;1.08
10036;Jess;Jordi;30.10.1995;0;35;False;4.94
10037;Ogdan;Shoutt;03.11.1995;0;75;False;3.22
10038;Mayor;Soda;02.03.2000;4;29;True;2.41
10039;Richmond;Amar;15.06.1998;3;79;True;3.45
10040;May;Ephgrave;27.03.2004;3;48;True;2.72
10041;Celene;Ingree;21.08.2000;4;33;False;4.69
10042;Meghan;Lowen;23.10.1996;3;50;True;3.32
10043;Pavla;Clearley;26.07.2002;1;2;False;4.98
10044;Elia;Pavlov;20.04.1999;3;99;True;1.44
10045;Alexandr;Formby;30.08.2002;1;33;True;4.18
10046;Riki;Mellor;08.09.1996;3;75;False;4.57
10047;Charline;Jailler;05.02.2001;0;95;False;4.94
10048;Nevil;Dunford;22.05.2002;0;63;False;2.85
10049;Eleonora;Birt;21.09.1999;4;1;False;3.99
10050;Ambrosi;Lambal;16.03.1995;4;50;True;3.54
10051;Georgia;Freckleton;15.09.2001;4;79;False;4.57
10052;Yehudit;Awcoate;09.06.1998;1;39;True;1.16
10053;Ronnica;Cotty;13.06.1999;1;14;True;2.84
10054;Tybi;Bello;12.09.2004;0;65;False;2.1
10055;Levey;Howes;18.01.1998;0;21;False;3.97
10056;Rosemarie;Scibsey;13.07.2002;3;61;True;4.43
10057;Karlens;Searles;26.08.2003;0;35;False;2.41
10058;Godwin;Brosh;04.08.2000;2;68;True;3.32
10059;Lazaro;Fassum;13.03.2001;0;99;True;2.93
10060;Evaleen;Shearstone;31.07.2003;0;60;False;3.46
10061;Eolande;Bowell;23.04.2002;2;88;False;1.04
10062;Gunilla;Terram;29.03.2000;0;31;False;2.22
10063;Alane;Croshaw;24.04.2002;2;69;True;1.45
10064;Adena;Klagges;26.07.2001;0;93;True;2.45
10065;Tyne;Lancett;15.07.1998;1;28;True;2.93
10066;Trey;Pears;23.07.1995;0;10;False;4.77
10067;Olympia;Croney;11.10.2004;1;74;False;1.45
10068;Stephannie;Picker;28.09.2001;3;53;False;4.38
10069;Heindrick;Klimuk;11.11.2004;0;65;False;4.55
10070;Lyndell;Priddis;17.04.1997;3;90;True;4.06
10071;Gabrielle;Brittan;30.10.1996;0;61;True;1.85
10072;Mohandis;Sharkey;15.09.2000;1;55;False;3.17
10073;Correy;Oliveira;26.10.1997;0;100;True;4.73
10074;Tandi;Pinnington;15.06.2003;2;14;False;2.64
10075;Melitta;Apedaile;19.05.2000;2;16;True;1.05
10076;Giacopo;Currington;17.10.2003;1;80;False;1.98
10077;Nathalia;Keirl;12.02.2000;4;45;False;3.16
10078;Lothaire;Coxen;15.04.2002;3;82;False;2.25
10079;Natale;Birdseye;12.04.2003;2;35;False;3.45
10080;Raffarty;Dyzart;16.02.2001;0;23;True;4.13
10081;Rorie;Henkens;29.01.1997;0;32;False;4.16
10082;Pat;Winterflood;03.09.2003;3;77;False;1.38
10083;Aleen;Sea;18.11.2002;3;60;False;1.28
10084;Rebecca;Aizikovich;08.04.1997;3;22;False;2.26
10085;Kimmi;Hunnisett;18.08.2001;2;10;True;1.94
10086;Briana;Dorran;25.04.1998;4;71;True;4.64
10087;Athena;Newis;06.10.1996;1;86;True;4.64
10088;Adriaens;Bessett;09.03.1995;3;37;False;1.17
10089;Christiana;Wyard;31.07.2004;3;0;False;1.01
10090;Kacie;Aistrop;28.12.1997;3;20;True;2.93
10091;Felicity;Crennan;13.05.2004;1;42;False;2.38
10092;Drucie;Tape;25.09.2003;1;47;True;4.94
10093;Elaina;Geeson;13.11.1998;2;67;False;3.02
10094;Alysa;Stoven;08.06.1998;0;52;False;1.37
10095;Lion;Wherrett;15.02.2001;3;83;False;4.64
10096;Ian;Fowle;24.08.2001;0;5;False;3.1
10097;Miriam;Durante;25.06.2004;2;36;False;3.79
10098;Pearla;Hullock;18.09.2001;0;73;True;3.75
10099;Iosep;Chaperlin;29.11.1998;2;98;True;2.79
10100;Araldo;Grigolli;29.08.2001;1;85;False;2.93
10101;Faith;Beer;25.06.2004;0;29;False;2.32
10102;Benny;Rivers;25.01.2004;1;48;True;4.93
10103;Forbes;Grant;01.11.2000;3;91;True;3.22
10104;Ernest;Neighbour;21.04.2002;2;27;False;1.59
10105;Trip;Hobbing;09.01.2004;3;78;True;1.9
10106;York;Qualtrough;19.09.1996;3;27;False;1.04
10107;Michell;Garford;06.01.2004;1;11;False;1.62
10108;Freddie;Doudny;09.04.1997;2;32;True;4.25
10109;Harlen;Challiner;30.05.1998;1;5;False;1.23
10110;Hamish;Rivaland;09.08.2003;3;26;True;4.27
10111;Vernice;MacAdam;21.11.2000;0;3;True;2.07
10112;Veda;McNay;25.12.2003;1;72;True;2.41
10113;Avrit;Bigley;29.01.1996;1;72;False;3.9
10114;Claudianus;Davies;06.04.2001;2;23;True;2.15
10115;Nathalie;Thor;24.12.1995;4;12;False;1.86
10116;Hilarius;Desouza;08.08.2000;4;19;True;1.7
10117;Angelica;Scannell;27.12.2001;0;46;False;3.08
10118;Constantine;Daymond;26.07.2001;0;48;False;1.34
10119;Chanda;Krysiak;05.03.2001;3;38;False;2.55
10120;Natala;Saice;28.09.1998;0;90;True;1.57
10121;Egon;Chartre;05.09.1997;2;67;False;2.25
10122;Brandais;Nunnery;05.09.1995;1;14;True;3.72
10123;Sander;Flade;03.03.2004;1;53;False;2.45
10124;Danyette;Pettis;25.11.1998;4;64;True;1.42
10125;Tana;Puddin;21.05.1997;1;20;False;1.91
10126;Dylan;Torrent;22.01.2004;2;28;True;4.44
10127;Winifred;Liddiatt;31.10.1999;4;6;False;2.24
10128;Venita;Arrighini;22.01.2001;4;41;True;1.64
10129;Eleanor;Blasio;09.11.1995;3;78;True;1.72
10130;Kym;Arblaster;20.12.2002;4;66;False;4.54
10131;Zak;Gergely;15.02.2002;1;31;False;2.35
10132;Antone;Linder;18.11.2000;4;52;True;1.09
10133;Gonzalo;Fowls;23.04.2002;4;25;True;2.53
10134;Garrard;Lafford;08.03.1999;4;64;True;2.05
10135;Jay;Andreasen;10.05.2004;0;86;True;2.35
10136;Vale;Seager;26.10.1996;4;1;False;4.41
10137;Natasha;O' Byrne;09.08.2000;3;38;True;1.76
10138;Goraud;Vergo;20.03.2004;0;5;True;4.95
10139;Brian;Cockman;29.04.1997;3;66;False;3.35
10140;Forbes;Shakesby;28.11.1995;1;38;True;4.58
10141;Owen;Jorge;22.11.1998;2;44;False;4.78
10142;Brietta;Mouget;29.10.1995;3;61;True;3.15
10143;Vinny;Dewsbury;11.01.2001;4;44;True;2.42
10144;Berri;Blaksland;05.05.1998;0;10;False;2.16
10145;Margarita;Bottle;20.04.1998;4;6;False;3.26
10146;Aluin;Rosling;07.02.2002;2;15;False;3.87
10147;Maryanne;Kubes;06.04.2002;3;97;False;4.93
10148;Pat;Gabbotts;05.06.1997;3;98;True;3.52
10149;Annetta;Edie;10.07.1999;4;39;True;4.66
10150;Sid;Balazin;20.08.2001;3;15;False;4.57
10151;Shantee;Sparshutt;28.01.2000;4;10;True;4.68
10152;Noah;Qualtrough;13.01.1996;1;62;True;4.46
10153;Blinny;Greyes;24.11.1999;2;82;False;3.09
10154;Robby;Ondrasek;07.11.1995;0;16;True;1.31
10155;Reid;Iles;12.09.1996;0;96;False;3.34
10156;Julee;Yacob;05.08.1995;1;93;False;3.69
10157;Ansel;Hargreves;14.03.2001;0;4;False;3.97
10158;Traci;Syres;10.02.1996;1;39;False;4.53
10159;Dennie;Waddams;21.05.1996;2;84;False;1.0
10160;Berky;Pinckstone;05.09.2001;2;16;True;4.46
10161;Haskell;Greenstead;30.05.1998;2;0;True;2.99
10162;Isa;La Rosa;14.02.2001;1;29;False;3.69
10163;Flin;Yakuntzov;11.01.2003;4;3;False;1.45
10164;Elizabet;Tunnoch;04.07.1999;4;17;True;3.93
10165;Dara;Samber;27.06.1996;3;69;False;4.02
10166;Allegra;Walklett;19.07.2003;1;28;True;2.9
10167;Hilario;Overell;27.03.1998;2;89;False;1.07
10168;Ivy;Woolis;25.08.1996;1;91;True;2.27
10169;Des;Kayes;30.10.1995;1;4;True;1.71
10170;Gray;Moggach;23.01.1996;1;92;True;2.64
10171;Aube;Scranedge;20.09.1999;4;89;False;3.31
10172;Ina;Hailes;11.06.1997;1;49;True;4.45
10173;Colet;Licciardi;30.01.1998;1;3;False;2.76
10174;Yank;Coke;23.03.1999;2;38;True;4.61
10175;Averil;Tuite;27.09.1999;1;32;False;2.52
10176;Gracie;Stickels;28.12.1997;4;76;True;1.2
10177;Israel;D'Onisi;02.08.2000;2;27;False;3.15
10178;Alvina;Kiessel;21.09.1999;2;16;True;2.09
10179;Marje;Duer;29.04.2002;3;80;False;2.97
10180;Walt;Sharrier;17.11.1995;3;93;True;3.58
10181;Talbert;Coulton;30.03.2003;0;83;True;3.38
10182;Willabella;Miche;16.04.2002;1;4;True;2.56
10183;Susy;McSaul;05.07.1999;0;65;True;1.56
10184;Daisy;Henstridge;28.03.2002;2;15;False;3.87
10185;Beaufort;Blum;14.05.2000;0;36;False;2.75
10186;Towney;Tomlin;09.10.2004;3;81;False;4.37
10187;Luella;Ballantyne;29.04.2002;4;1;True;2.77
10188;Hy;Phipard-Shears;28.05.1998;4;68;False;1.48
10189;Kristin;Proctor;16.04.1999;4;25;True;3.22
10190;Kayla;Percifer;18.05.2002;0;80;True;2.06
10191;Kakalina;Chalker;01.02.1996;4;89;True;1.52
10192;Rafael;Corlett;05.11.1999;4;71;False;3.65
10193;Franklin;Bangham;27.04.2004;0;56;False;2.45
10194;Caren;Gounet;04.07.2004;2;75;False;2.37
10195;Ruddy;Rodriguez;16.07.2000;1;18;True;3.14
10196;Ronni;Crankshaw;08.11.2001;1;83;True;3.48
10197;Chanda;Messenbird;01.09.2004;3;93;False;3.68
10198;Wylma;Rosen;31.12.1996;1;52;False;3.34
10199;Merrie;Dog;14.06.2002;2;44;True;3.64
10200;Sile;Prahm;13.07.2004;4;15;True;1.03
10201;Ignaz;Creggan;09.11.1999;3;70;True;1.73
10202;Dory;Thomlinson;21.08.1998;1;63;False;2.17
10203;Eldridge;Askham;10.12.2000;0;10;True;4.2
10204;Kingston;Lamminam;17.06.2003;4;6;True;1.56
10205;Olivie;Feehely;25.07.1995;0;30;True;1.21
10206;Kali;Durnan;22.11.1999;0;4;True;3.68
10207;Pammie;Stallard;21.07.1995;4;56;False;1.47
10208;Ralph;Dugdale;22.02.1995;1;51;False;2.28
