Id;jmeno;prijmeni;datumNarozeni;obor;bodyPrijimacihoRizeni;prijat
1;Cassaundra;Jenkyn;02.02.2005;1;0;true
2;Jordan;Gann;10.12.2001;1;26;true
3;Menard;Lantry;21.12.2004;3;19;false
4;Aloysius;Walduck;02.06.1999;2;63;false
5;Frans;Coyte;22.03.2000;5;82;false
6;Rosaline;Deverille;05.0232323.1995;3;38;false
7;Amby;Jirzik;09.08.1996;1;86;true
8;Wren;Mavin;22.08.2001;6;19;false
9;Allyn;Fahy;10.03.1995;3;65;false
10;Rowland;Peto;25.09.2003;3;69;true
11;Tiff;Jambrozek;28.07.1998;0;65;true
12;Dar;Giacopello;26.11.2002;6;17;false
13;Ulrikaumeko;Snape;16.01.2005;0;52;false
14;Trina;Doogue;04.03.1998;0;4;false
15;Cass;Bresnahan;28.05.1995;4;81;true
16;Helli;Bridgens;26.03.1996;4;9;false
17;Karlyn;Dunston;28.02.1996;0;74;false
18;Susanne;Abbys;17.12.1997;7;65;false
19;Siusan;Bras;14.09.1995;4;18;false
20;Luca;Wiggins;20.07.1995;7;14;true
21;Annette;Huffy;13.12.2000;2;28;true
22;Terrijo;Gilchrest;22.11.1999;0;35;false
23;Lek;Kwietek;24.02.2003;5;88;true
24;Nissie;Osgodby;24.12.2002;0;30;true
25;Blane;Moloney;24.03.2004;3;97;false
26;Niccolo;Biddiss;19.07.1996;1;92;true
27;Granthem;Thursfield;27.05.2004;3;89;true
28;Ashely;LeEstut;26.03.1996;0;15;true
29;Beret;Jenk;06.03.1997;2;53;false
30;Madelyn;Mosten;01.03.2003;0;22;false
31;Glyn;Normadell;14.01.1996;6;33;true
32;Hamel;Beldom;02.06.1999;6;14;true
33;Reggie;Hatry;17.11.2001;2;62;false
34;Norean;Splaven;01.01.1997;4;51;true
35;Oran;Puddefoot;23.07.2003;0;4;false
36;Regan;Pomphrey;18.12.2001;5;53;true
37;Rickey;Priestley;25.07.1996;7;4;false
38;Roxane;Lavielle;31.05.2002;5;91;false
39;Trudey;Ashmore;14.08.1996;0;21;false
40;Belvia;Marquez;19.03.1997;1;94;true
41;Spence;Matanin;10.02.2005;1;25;true
42;Lauraine;Pabst;02.04.1995;1;44;true
43;Karina;Topp;22.04.1998;1;74;true
44;Marsiella;Bullar;22.03.1996;7;42;true
45;Elwood;Pizzie;19.01.2002;7;51;true
46;Carlin;Handyside;08.10.1997;0;28;false
47;Donetta;Willison;01.03.2000;3;25;false
48;Walden;Storre;21.03.2002;2;9;false
49;Maureen;Gimenez;07.10.1998;6;13;true
50;Katey;Benedetti;11.05.1996;1;13;true
51;Joycelin;Carletti;22.05.2002;2;5;false
52;Ortensia;Bigley;16.12.1998;7;82;true
53;Aube;Middlewick;30.06.1995;7;73;false
54;Doris;Goodband;21.06.1995;7;69;true
55;Roch;Poacher;16.08.2003;7;49;true
56;Muffin;Abraham;20.11.1997;2;73;false
57;Lynsey;Cornelissen;21.10.2002;3;62;true
58;Ivan;Moules;28.06.2001;6;15;false
59;Callida;Spacy;01.04.1998;6;69;false
60;Cristy;Adne;06.06.2004;7;73;false
61;Noellyn;Insoll;02.10.1999;1;10;false
62;Kennedy;Sallowaye;12.02.1998;0;83;true
63;Mirna;Clemmett;17.08.1999;3;92;true
64;Leigha;Naisbit;14.08.2001;5;20;true
65;Wini;Simchenko;02.05.2004;6;37;true
66;Hortense;Scamel;16.05.1999;6;14;true
67;Willdon;Jankovic;30.01.1996;3;59;true
68;Virgil;Henken;06.08.1996;2;67;false
69;Minerva;Stoate;11.05.1999;0;94;false
70;Moshe;Stringer;11.03.1997;0;67;false
71;Lauri;Northern;19.02.1995;0;4;true
72;Kristos;Elphinston;01.05.1996;5;64;true
73;Priscilla;Neeves;27.04.1998;1;65;true
74;Florina;Thorley;05.06.1996;6;48;false
75;Sanford;Buterton;11.03.1998;3;67;false
76;Barnie;Corstorphine;02.04.1999;3;77;false
77;Adrien;Dunstone;13.09.1997;2;60;false
78;Jorgan;Glazier;11.07.1996;7;92;false
79;Sammy;Remmer;14.02.2000;3;10;true
80;Courtenay;Tissier;16.02.2000;5;60;false
81;Pammie;Ingrem;17.11.2000;7;50;true
82;Anna;O'Currine;27.04.1999;1;71;false
83;Monro;Bjorkan;31.12.2002;2;9;false
84;Dolli;Stallebrass;25.02.2000;4;5;true
85;Lela;Ewbanche;02.01.2001;5;57;true
86;Cristian;Wickersham;20.02.1995;1;16;false
87;Oren;Waistall;24.02.2000;5;55;false
88;Cathryn;Holburn;06.09.2003;7;19;false
89;Ursulina;Coade;30.06.2000;5;19;true
90;Bonita;Whiskerd;22.10.2003;1;85;true
