Id;jmeno;prijmeni;datumNarozeni;obor;bodyPrijimacihoRizeni;prijat;prumerZnamekMaturitniZkousky
1;Aluino;Sandlin;01.02.2001;1;45;false;4.84
2;Vachel;Schultheiss;18.06.2003;2;1;true;3.42
3;Huntley;Chalcraft;24.01.2001;2;35;true;1.33
4;Annetta;Sancto;25.12.1999;2;58;false;3.41
5;Marjorie;Ranking;10.08.2004;3;52;true;3.57
6;Jarret;Lutas;07.04.1995;4;39;true;2.51
7;Toby;Mouser;12.08.1995;0;53;true;30.65
8;Filmer;Jentin;26.12.2000;0;6;true;3.08
9;Shaina;Spalton;07.11.2002;3;21;true;3.38
10;Geordie;Berthod;28.03.1997;4;48;true;1.23
11;Darlleen;Maccrae;13.04.2004;2;43;false;3.88
12;Dore;Comber;10.12.2003;1;95;true;2.8
13;Annnora;Madle;30.03.2003;0;46;false;1.91
14;Kristel;Lowrance;14.02.2003;3;59;false;2.42
15;Mary;Lamanby;25.08.2004;3;40;false;4.55
16;Windham;Rosoni;09.08.1995;1;21;true;1.31
17;Rasia;Southan;21.10.2002;4;98;true;4.02
18;Banky;Hartwell;10.11.2004;2;56;false;1.54
19;Chane;Fussell;07.11.1996;3;6;false;4.3
20;Korney;Woollard;03.07.1996;4;85;true;4.78
21;Benton;Aiskovitch;20.10.2000;4;72;false;1.88
22;Nicol;Fedoronko;20.02.1999;0;59;false;4.74
23;Howie;Mollen;08.08.1999;3;59;true;1.57
24;Verina;Benning;20.10.2002;3;43;false;1.96
25;Bart;Pusill;13.02.2003;2;66;false;1.04
26;Gav;Dible;26.11.2002;2;13;true;4.54
27;Brod;Hartin;23.04.2002;0;87;true;3.05
28;Gabe;Winchcomb;28.10.1997;4;38;false;1.78
29;Edith;Hairon;08.04.1995;1;57;false;1.61
30;Philippine;Baccus;17.11.1998;0;0;true;2.31
31;Maribeth;Colleran;06.10.2000;1;73;true;4.16
32;Neale;Garrit;21.09.2003;0;60;false;3.55
33;Addie;Haversum;13.03.2003;2;85;false;3.35
34;Glendon;De Gogay;11.06.2003;1;73;true;4.4
35;Thornie;Pywell;14.03.1997;1;71;true;3.79
